Film_title,Director,Cast,Average_rating,Watches,Film_URL
Star Wars,George Lucas,"['Mark Hamill', 'Harrison Ford', 'Carrie Fisher']",4.18,2321429,https://letterboxd.com/film/star-wars/
Se7en,David Fincher,"['Morgan Freeman', 'Brad Pitt', 'Gwyneth Paltrow']",4.32,2319110,https://letterboxd.com/film/se7en/
Iron Man,Jon Favreau,"['Robert Downey Jr.', 'Terrence Howard', 'Jeff Bridges']",3.69,2306013,https://letterboxd.com/film/iron-man-2008/
Thor: Ragnarok,Taika Waititi,"['Chris Hemsworth', 'Tom Hiddleston', 'Cate Blanchett']",3.73,2300582,https://letterboxd.com/film/thor-ragnarok/
Mean Girls,Mark Waters,"['Lindsay Lohan', 'Rachel McAdams', 'Lizzy Caplan']",3.83,2289153,https://letterboxd.com/film/mean-girls/
Eternal Sunshine of the Spotless Mind,Michel Gondry,"['Jim Carrey', 'Kate Winslet', 'Kirsten Dunst']",4.25,2282876,https://letterboxd.com/film/eternal-sunshine-of-the-spotless-mind/
Spider-Man,Sam Raimi,"['Tobey Maguire', 'Willem Dafoe', 'Kirsten Dunst']",3.77,2266750,https://letterboxd.com/film/spider-man/
The Silence of the Lambs,Jonathan Demme,"['Jodie Foster', 'Anthony Hopkins', 'Scott Glenn']",4.33,2259228,https://letterboxd.com/film/the-silence-of-the-lambs/
Home Alone,Chris Columbus,"['Macaulay Culkin', 'Joe Pesci', 'Daniel Stern']",3.79,2255141,https://letterboxd.com/film/home-alone/
The Lion King,"Roger Allers, Rob Minkoff","['Matthew Broderick', 'Moira Kelly', 'Nathan Lane']",4.21,2247900,https://letterboxd.com/film/the-lion-king/
Kill Bill: Vol. 1,Quentin Tarantino,"['Uma Thurman', 'Lucy Liu', 'Vivica A. Fox']",4.19,2248089,https://letterboxd.com/film/kill-bill-vol-1/
Black Swan,Darren Aronofsky,"['Natalie Portman', 'Mila Kunis', 'Vincent Cassel']",4.14,2208604,https://letterboxd.com/film/black-swan/
Harry Potter and the Chamber of Secrets,Chris Columbus,"['Daniel Radcliffe', 'Rupert Grint', 'Emma Watson']",3.58,2193343,https://letterboxd.com/film/harry-potter-and-the-chamber-of-secrets/
Spider-Man: Far from Home,Jon Watts,"['Tom Holland', 'Samuel L. Jackson', 'Jake Gyllenhaal']",3.37,2186279,https://letterboxd.com/film/spider-man-far-from-home/
It,Andy Muschietti,"['Jaeden Martell', 'Sophia Lillis', 'Jack Dylan Grazer']",3.43,2181712,https://letterboxd.com/film/it-2017/
Scott Pilgrim vs. the World,Edgar Wright,"['Michael Cera', 'Mary Elizabeth Winstead', 'Ellen Wong']",3.87,2176347,https://letterboxd.com/film/scott-pilgrim-vs-the-world/
