Film_title,Director,Cast,Average_rating,Watches,Film_URL
The Big Short,Adam McKay,"['Steve Carell', 'Christian Bale', 'John Magaro']",3.82,960819,https://letterboxd.com/film/the-big-short/
Top Gun,Tony Scott,"['Tom Cruise', 'Kelly McGillis', 'Val Kilmer']",3.35,960561,https://letterboxd.com/film/top-gun/
Man of Steel,Zack Snyder,"['Henry Cavill', 'Amy Adams', 'Michael Shannon']",2.99,959121,https://letterboxd.com/film/man-of-steel/
Brokeback Mountain,Ang Lee,"['Heath Ledger', 'Jake Gyllenhaal', 'Michelle Williams']",4.1,956726,https://letterboxd.com/film/brokeback-mountain/
Room,Lenny Abrahamson,"['Brie Larson', 'Jacob Tremblay', 'Joan Allen']",3.98,954326,https://letterboxd.com/film/room-2015/
Jumanji,Joe Johnston,"['Robin Williams', 'Kirsten Dunst', 'Bradley Pierce']",3.6,954220,https://letterboxd.com/film/jumanji/
Before Sunrise,Richard Linklater,"['Ethan Hawke', 'Julie Delpy', 'Andrea Eckert']",4.33,952496,https://letterboxd.com/film/before-sunrise/
The Terminator,James Cameron,"['Arnold Schwarzenegger', 'Michael Biehn', 'Linda Hamilton']",3.89,949209,https://letterboxd.com/film/the-terminator/
Free Guy,Shawn Levy,"['Ryan Reynolds', 'Jodie Comer', 'Joe Keery']",3.04,949641,https://letterboxd.com/film/free-guy/
Hot Fuzz,Edgar Wright,"['Simon Pegg', 'Nick Frost', 'Jim Broadbent']",4.08,948379,https://letterboxd.com/film/hot-fuzz/
Pearl,Ti West,"['Mia Goth', 'Tandi Wright', 'David Corenswet']",3.75,949733,https://letterboxd.com/film/pearl-2022/
Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),Cathy Yan,"['Margot Robbie', 'Ewan McGregor', 'Mary Elizabeth Winstead']",3.04,946151,https://letterboxd.com/film/birds-of-prey-and-the-fantabulous-emancipation-of-one-harley-quinn/
The Exorcist,William Friedkin,"['Jason Miller', 'Ellen Burstyn', 'Linda Blair']",3.99,943504,https://letterboxd.com/film/the-exorcist/
Indiana Jones and the Last Crusade,Steven Spielberg,"['Harrison Ford', 'Sean Connery', 'Denholm Elliott']",4.09,942559,https://letterboxd.com/film/indiana-jones-and-the-last-crusade/
The Polar Express,Robert Zemeckis,"['Tom Hanks', 'Leslie Zemeckis', 'Eddie Deezen']",3.22,940848,https://letterboxd.com/film/the-polar-express/
Groundhog Day,Harold Ramis,"['Bill Murray', 'Andie MacDowell', 'Chris Elliott']",3.84,940337,https://letterboxd.com/film/groundhog-day/
Bottoms,Emma Seligman,"['Rachel Sennott', 'Ayo Edebiri', 'Ruby Cruz']",3.83,941380,https://letterboxd.com/film/bottoms/
Mr. & Mrs. Smith,Doug Liman,"['Brad Pitt', 'Angelina Jolie', 'Vince Vaughn']",3.17,939885,https://letterboxd.com/film/mr-mrs-smith-2005/
The Greatest Showman,Michael Gracey,"['Hugh Jackman', 'Zac Efron', 'Michelle Williams']",3.35,939057,https://letterboxd.com/film/the-greatest-showman/
The Hunger Games: The Ballad of Songbirds & Snakes,Francis Lawrence,"['Tom Blyth', 'Rachel Zegler', 'Peter Dinklage']",3.6,937587,https://letterboxd.com/film/the-hunger-games-the-ballad-of-songbirds-snakes/
The Mask,Chuck Russell,"['Jim Carrey', 'Peter Greene', 'Cameron Diaz']",3.32,928921,https://letterboxd.com/film/the-mask-1994/
The Pianist,Roman Polanski,"['Adrien Brody', 'Thomas Kretschmann', 'Frank Finlay']",4.36,928448,https://letterboxd.com/film/the-pianist/
Elvis,Baz Luhrmann,"['Austin Butler', 'Tom Hanks', 'Olivia DeJonge']",3.34,926451,https://letterboxd.com/film/elvis-2022/
Killers of the Flower Moon,Martin Scorsese,"['Leonardo DiCaprio', 'Lily Gladstone', 'Robert De Niro']",4.11,925685,https://letterboxd.com/film/killers-of-the-flower-moon/
Ocean's Eight,Gary Ross,"['Sandra Bullock', 'Cate Blanchett', 'Sarah Paulson']",3.28,924592,https://letterboxd.com/film/oceans-eight/
The Hobbit: The Desolation of Smaug,Peter Jackson,"['Martin Freeman', 'Ian McKellen', 'Richard Armitage']",3.36,924453,https://letterboxd.com/film/the-hobbit-the-desolation-of-smaug/
The French Dispatch,Wes Anderson,"['Benicio del Toro', 'Adrien Brody', 'Tilda Swinton']",3.69,922952,https://letterboxd.com/film/the-french-dispatch/
World War Z,Marc Forster,"['Brad Pitt', 'Mireille Enos', 'Daniella Kertesz']",3.11,920624,https://letterboxd.com/film/world-war-z/
Annihilation,Alex Garland,"['Natalie Portman', 'Jennifer Jason Leigh', 'Gina Rodriguez']",3.58,919392,https://letterboxd.com/film/annihilation/
X-Men: First Class,Matthew Vaughn,"['James McAvoy', 'Michael Fassbender', 'Kevin Bacon']",3.56,919245,https://letterboxd.com/film/x-men-first-class/
Saw,James Wan,"['Cary Elwes', 'Leigh Whannell', 'Danny Glover']",3.61,919591,https://letterboxd.com/film/saw/
Kick-Ass,Matthew Vaughn,"['Aaron Taylor-Johnson', 'Chloë Grace Moretz', 'Nicolas Cage']",3.5,918814,https://letterboxd.com/film/kick-ass/
Barbarian,Zach Cregger,"['Georgina Campbell', 'Bill Skarsgård', 'Justin Long']",3.51,916806,https://letterboxd.com/film/barbarian-2022/
Wonka,Paul King,"['Timothée Chalamet', 'Calah Lane', 'Keegan-Michael Key']",3.29,921624,https://letterboxd.com/film/wonka/
The Princess Bride,Rob Reiner,"['Cary Elwes', 'Robin Wright', 'Mandy Patinkin']",4.04,914258,https://letterboxd.com/film/the-princess-bride/
Casino Royale,Martin Campbell,"['Daniel Craig', 'Eva Green', 'Mads Mikkelsen']",4.0,913632,https://letterboxd.com/film/casino-royale-2006/
Aquaman,James Wan,"['Jason Momoa', 'Amber Heard', 'Willem Dafoe']",2.79,910674,https://letterboxd.com/film/aquaman-2018/
12 Angry Men,Sidney Lumet,"['Martin Balsam', 'John Fiedler', 'Lee J. Cobb']",4.62,910831,https://letterboxd.com/film/12-angry-men/
Terminator 2: Judgment Day,James Cameron,"['Arnold Schwarzenegger', 'Linda Hamilton', 'Edward Furlong']",4.28,909699,https://letterboxd.com/film/terminator-2-judgment-day/
I Am Legend,Francis Lawrence,"['Will Smith', 'Abbey', 'Alice Braga']",3.37,906685,https://letterboxd.com/film/i-am-legend/
Ponyo,Hayao Miyazaki,"['Yuria Kozuki', 'Hiroki Doi', 'George Tokoro']",4.05,905853,https://letterboxd.com/film/ponyo/
The Thing,John Carpenter,"['Kurt Russell', 'Keith David', 'Wilford Brimley']",4.35,904711,https://letterboxd.com/film/the-thing/
John Wick: Chapter 3 – Parabellum,Chad Stahelski,"['Keanu Reeves', 'Halle Berry', 'Ian McShane']",3.67,900745,https://letterboxd.com/film/john-wick-chapter-3-parabellum/
The Cabin in the Woods,Drew Goddard,"['Kristen Connolly', 'Fran Kranz', 'Chris Hemsworth']",3.41,896218,https://letterboxd.com/film/the-cabin-in-the-woods/
Isle of Dogs,Wes Anderson,"['Bryan Cranston', 'Koyu Rankin', 'Bob Balaban']",3.97,896208,https://letterboxd.com/film/isle-of-dogs-2018/
The Incredible Hulk,Louis Leterrier,"['Edward Norton', 'Liv Tyler', 'Tim Roth']",2.44,896001,https://letterboxd.com/film/the-incredible-hulk/
Indiana Jones and the Temple of Doom,Steven Spielberg,"['Harrison Ford', 'Kate Capshaw', 'Ke Huy Quan']",3.63,895669,https://letterboxd.com/film/indiana-jones-and-the-temple-of-doom/
The Irishman,Martin Scorsese,"['Robert De Niro', 'Al Pacino', 'Joe Pesci']",3.91,894591,https://letterboxd.com/film/the-irishman-2019/
Maleficent,Robert Stromberg,"['Angelina Jolie', 'Elle Fanning', 'Imelda Staunton']",3.16,894070,https://letterboxd.com/film/maleficent/
Full Metal Jacket,Stanley Kubrick,"['Matthew Modine', 'Adam Baldwin', '""Vincent DOnofrio""']",4.2,893031,https://letterboxd.com/film/full-metal-jacket/
The Twilight Saga: New Moon,Chris Weitz,"['Kristen Stewart', 'Robert Pattinson', 'Taylor Lautner']",2.56,892654,https://letterboxd.com/film/the-twilight-saga-new-moon/
Kiki's Delivery Service,Hayao Miyazaki,"['Minami Takayama', 'Rei Sakuma', 'Kappei Yamaguchi']",4.13,892325,https://letterboxd.com/film/kikis-delivery-service/
Snowpiercer,Bong Joon-ho,"['Chris Evans', 'Song Kang-ho', 'John Hurt']",3.69,888382,https://letterboxd.com/film/snowpiercer/
The Princess and the Frog,"Ron Clements, John Musker","['Anika Noni Rose', 'Bruno Campos', 'Jim Cummings']",3.82,888991,https://letterboxd.com/film/the-princess-and-the-frog/
Aftersun,Charlotte Wells,"['Paul Mescal', 'Frankie Corio', 'Brooklyn Toulson']",4.24,889241,https://letterboxd.com/film/aftersun/
One Flew Over the Cuckoo's Nest,Miloš Forman,"['Jack Nicholson', 'Brad Dourif', 'Louise Fletcher']",4.36,886446,https://letterboxd.com/film/one-flew-over-the-cuckoos-nest/
Beauty and the Beast,Bill Condon,"['Emma Watson', 'Dan Stevens', 'Luke Evans']",3.06,885302,https://letterboxd.com/film/beauty-and-the-beast-2017/
No Hard Feelings,Gene Stupnitsky,"['Jennifer Lawrence', 'Andrew Barth Feldman', 'Laura Benanti']",3.06,885020,https://letterboxd.com/film/no-hard-feelings-2023/
The Favourite,Yorgos Lanthimos,"['Olivia Colman', 'Emma Stone', 'Rachel Weisz']",4.04,881588,https://letterboxd.com/film/the-favourite/
Train to Busan,Yeon Sang-ho,"['Gong Yoo', 'Kim Su-an', 'Jung Yu-mi']",3.95,880556,https://letterboxd.com/film/train-to-busan/
Solo: A Star Wars Story,Ron Howard,"['Alden Ehrenreich', 'Joonas Suotamo', 'Woody Harrelson']",2.9,879685,https://letterboxd.com/film/solo-a-star-wars-story/
The Royal Tenenbaums,Wes Anderson,"['Gene Hackman', 'Anjelica Huston', 'Ben Stiller']",4.1,874571,https://letterboxd.com/film/the-royal-tenenbaums/
"Three Billboards Outside Ebbing, Missouri",Martin McDonagh,"['Frances McDormand', 'Woody Harrelson', 'Sam Rockwell']",4.03,872724,https://letterboxd.com/film/three-billboards-outside-ebbing-missouri/
Rango,Gore Verbinski,"['Johnny Depp', 'Isla Fisher', 'Ned Beatty']",3.65,873321,https://letterboxd.com/film/rango/
Crazy Rich Asians,Jon M. Chu,"['Constance Wu', 'Henry Golding', 'Michelle Yeoh']",3.47,869746,https://letterboxd.com/film/crazy-rich-asians/
Cloudy with a Chance of Meatballs,"Phil Lord, Christopher Miller","['Bill Hader', 'Anna Faris', 'James Caan']",3.34,866414,https://letterboxd.com/film/cloudy-with-a-chance-of-meatballs/
Bee Movie,"Steve Hickner, Simon J. Smith","['Jerry Seinfeld', 'Renée Zellweger', 'Matthew Broderick']",2.88,863416,https://letterboxd.com/film/bee-movie/
Anatomy of a Fall,Justine Triet,"['Sandra Hüller', 'Swann Arlaud', 'Milo Machado-Graner']",4.16,872120,https://letterboxd.com/film/anatomy-of-a-fall/
"Girl, Interrupted",James Mangold,"['Winona Ryder', 'Angelina Jolie', 'Brittany Murphy']",3.89,862491,https://letterboxd.com/film/girl-interrupted/
To All the Boys I've Loved Before,Susan Johnson,"['Lana Condor', 'Noah Centineo', 'Janel Parrish']",2.95,856137,https://letterboxd.com/film/to-all-the-boys-ive-loved-before/
Shazam!,David F. Sandberg,"['Zachary Levi', 'Mark Strong', 'Asher Angel']",3.11,845820,https://letterboxd.com/film/shazam/
Pretty Woman,Garry Marshall,"['Richard Gere', 'Julia Roberts', 'Ralph Bellamy']",3.61,845677,https://letterboxd.com/film/pretty-woman/
The Hobbit: The Battle of the Five Armies,Peter Jackson,"['Martin Freeman', 'Ian McKellen', 'Richard Armitage']",3.15,844267,https://letterboxd.com/film/the-hobbit-the-battle-of-the-five-armies-extended-version/
Back to the Future Part III,Robert Zemeckis,"['Michael J. Fox', 'Christopher Lloyd', 'Mary Steenburgen']",3.52,843542,https://letterboxd.com/film/back-to-the-future-part-iii/
High School Musical,Kenny Ortega,"['Zac Efron', 'Vanessa Hudgens', 'Ashley Tisdale']",3.15,842723,https://letterboxd.com/film/high-school-musical/
Rocky,John G. Avildsen,"['Sylvester Stallone', 'Talia Shire', 'Burt Young']",4.07,842185,https://letterboxd.com/film/rocky/
Eyes Wide Shut,Stanley Kubrick,"['Tom Cruise', 'Nicole Kidman', 'Sydney Pollack']",4.0,840790,https://letterboxd.com/film/eyes-wide-shut/
Cars 2,John Lasseter,"['Larry the Cable Guy', 'Owen Wilson', 'Michael Caine']",2.7,840430,https://letterboxd.com/film/cars-2/
Despicable Me 2,"Pierre Coffin, Chris Renaud","['Steve Carell', 'Kristen Wiig', 'Benjamin Bratt']",3.09,838058,https://letterboxd.com/film/despicable-me-2/
Midnight in Paris,Woody Allen,"['Owen Wilson', 'Rachel McAdams', 'Kurt Fuller']",3.71,833673,https://letterboxd.com/film/midnight-in-paris/
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Larry Charles,"['Sacha Baron Cohen', 'Ken Davitian', 'Luenell']",3.73,833643,https://letterboxd.com/film/borat-cultural-learnings-of-america-for-make-benefit-glorious-nation-of-kazakhstan/
Apocalypse Now,Francis Ford Coppola,"['Martin Sheen', 'Frederic Forrest', 'Albert Hall']",4.44,830756,https://letterboxd.com/film/apocalypse-now/
WandaVision,Matt Shakman,"['Elizabeth Olsen', 'Paul Bettany', 'Kathryn Hahn']",3.75,829046,https://letterboxd.com/film/wandavision/
Asteroid City,Wes Anderson,"['Jason Schwartzman', 'Scarlett Johansson', 'Tom Hanks']",3.53,829562,https://letterboxd.com/film/asteroid-city/
The Fault in Our Stars,Josh Boone,"['Shailene Woodley', 'Ansel Elgort', 'Nat Wolff']",3.09,827569,https://letterboxd.com/film/the-fault-in-our-stars/
Frozen II,"Chris Buck, Jennifer Lee","['Idina Menzel', 'Kristen Bell', 'Josh Gad']",3.12,825851,https://letterboxd.com/film/frozen-2/
The Wizard of Oz,Victor Fleming,"['Judy Garland', 'Ray Bolger', 'Jack Haley']",3.96,824493,https://letterboxd.com/film/the-wizard-of-oz-1939/
Mulholland Drive,David Lynch,"['Naomi Watts', 'Laura Harring', 'Justin Theroux']",4.24,822476,https://letterboxd.com/film/mulholland-drive/
The Pursuit of Happyness,Gabriele Muccino,"['Will Smith', 'Jaden Smith', 'Thandiwe Newton']",3.88,822326,https://letterboxd.com/film/the-pursuit-of-happyness/
Cast Away,Robert Zemeckis,"['Tom Hanks', 'Helen Hunt', 'Chris Noth']",3.86,821572,https://letterboxd.com/film/cast-away/
The Edge of Seventeen,Kelly Fremon Craig,"['Hailee Steinfeld', 'Woody Harrelson', 'Haley Lu Richardson']",3.53,819609,https://letterboxd.com/film/the-edge-of-seventeen/
X-Men,Bryan Singer,"['Patrick Stewart', 'Ian McKellen', 'Hugh Jackman']",3.32,817322,https://letterboxd.com/film/x-men/
12 Years a Slave,Steve McQueen,"['Chiwetel Ejiofor', 'Michael Fassbender', '""Lupita Nyongo""']",4.14,815804,https://letterboxd.com/film/12-years-a-slave/
Freaky Friday,Mark Waters,"['Lindsay Lohan', 'Jamie Lee Curtis', 'Harold Gould']",3.39,815372,https://letterboxd.com/film/freaky-friday-2003/
Talk to Me,"Michael Philippou, Danny Philippou","['Sophie Wilde', 'Alexandra Jensen', 'Joe Bird']",3.57,815706,https://letterboxd.com/film/talk-to-me-2022/
Portrait of a Lady on Fire,Céline Sciamma,"['Noémie Merlant', 'Adèle Haenel', 'Luàna Bajrami']",4.43,813920,https://letterboxd.com/film/portrait-of-a-lady-on-fire/
Sherlock Holmes,Guy Ritchie,"['Robert Downey Jr.', 'Jude Law', 'Rachel McAdams']",3.43,812366,https://letterboxd.com/film/sherlock-holmes-2009/
mother!,Darren Aronofsky,"['Jennifer Lawrence', 'Javier Bardem', 'Ed Harris']",3.47,811342,https://letterboxd.com/film/mother-2017/
Green Book,Peter Farrelly,"['Viggo Mortensen', 'Mahershala Ali', 'Linda Cardellini']",3.7,808433,https://letterboxd.com/film/green-book/
Notting Hill,Roger Michell,"['Julia Roberts', 'Hugh Grant', 'Gina McKee']",3.62,806928,https://letterboxd.com/film/notting-hill/
Stand by Me,Rob Reiner,"['Wil Wheaton', 'River Phoenix', '""Jerry OConnell""']",4.14,804838,https://letterboxd.com/film/stand-by-me/
A Quiet Place Part II,John Krasinski,"['Emily Blunt', 'John Krasinski', 'Millicent Simmonds']",3.44,799659,https://letterboxd.com/film/a-quiet-place-part-ii/
Transformers,Michael Bay,"['Shia LaBeouf', 'Megan Fox', 'Josh Duhamel']",3.1,798056,https://letterboxd.com/film/transformers/
How to Train Your Dragon 2,Dean DeBlois,"['Jay Baruchel', 'Cate Blanchett', 'Gerard Butler']",3.73,795990,https://letterboxd.com/film/how-to-train-your-dragon-2/
The Twilight Saga: Eclipse,David Slade,"['Kristen Stewart', 'Robert Pattinson', 'Taylor Lautner']",2.55,795276,https://letterboxd.com/film/the-twilight-saga-eclipse/
The Theory of Everything,James Marsh,"['Eddie Redmayne', 'Felicity Jones', 'Charlie Cox']",3.61,794099,https://letterboxd.com/film/the-theory-of-everything-2014/
Tarzan,"Kevin Lima, Chris Buck","['Tony Goldwyn', 'Minnie Driver', 'Glenn Close']",3.68,793660,https://letterboxd.com/film/tarzan/
Last Night in Soho,Edgar Wright,"['Thomasin McKenzie', 'Anya Taylor-Joy', 'Matt Smith']",3.41,794965,https://letterboxd.com/film/last-night-in-soho/
The Whale,Darren Aronofsky,"['Brendan Fraser', 'Sadie Sink', 'Ty Simpkins']",3.65,793189,https://letterboxd.com/film/the-whale-2022/
The Holdovers,Alexander Payne,"['Paul Giamatti', 'Dominic Sessa', '""DaVine Joy Randolph""']",4.22,790647,https://letterboxd.com/film/the-holdovers/
Lucy,Luc Besson,"['Scarlett Johansson', 'Morgan Freeman', 'Choi Min-sik']",2.73,785192,https://letterboxd.com/film/lucy-2014/
How to Lose a Guy in 10 Days,Donald Petrie,"['Kate Hudson', 'Matthew McConaughey', 'Kathryn Hahn']",3.56,786636,https://letterboxd.com/film/how-to-lose-a-guy-in-10-days/
Slumdog Millionaire,Danny Boyle,"['Dev Patel', 'Freida Pinto', 'Madhur Mittal']",3.89,784549,https://letterboxd.com/film/slumdog-millionaire/
Kung Fu Panda 2,Jennifer Yuh Nelson,"['Jack Black', 'Angelina Jolie', 'Dustin Hoffman']",3.67,785207,https://letterboxd.com/film/kung-fu-panda-2/
Scooby-Doo,Raja Gosnell,"['Freddie Prinze Jr.', 'Sarah Michelle Gellar', 'Matthew Lillard']",3.24,783645,https://letterboxd.com/film/scooby-doo/
22 Jump Street,"Phil Lord, Christopher Miller","['Jonah Hill', 'Channing Tatum', 'Peter Stormare']",3.31,782589,https://letterboxd.com/film/22-jump-street/
When Harry Met Sally...,Rob Reiner,"['Meg Ryan', 'Billy Crystal', 'Bruno Kirby']",4.04,782151,https://letterboxd.com/film/when-harry-met-sally/
The Blair Witch Project,"Daniel Myrick, Eduardo Sánchez","['Rei Hance', 'Michael C. Williams', 'Joshua Leonard']",3.31,780578,https://letterboxd.com/film/the-blair-witch-project/
The Matrix Reloaded,"Lilly Wachowski, Lana Wachowski","['Keanu Reeves', 'Laurence Fishburne', 'Carrie-Anne Moss']",3.34,778062,https://letterboxd.com/film/the-matrix-reloaded/
Pirates of the Caribbean: On Stranger Tides,Rob Marshall,"['Johnny Depp', 'Penélope Cruz', 'Geoffrey Rush']",2.77,776939,https://letterboxd.com/film/pirates-of-the-caribbean-on-stranger-tides/
Edge of Tomorrow,Doug Liman,"['Tom Cruise', 'Emily Blunt', 'Bill Paxton']",3.75,776435,https://letterboxd.com/film/edge-of-tomorrow/
Divergent,Neil Burger,"['Shailene Woodley', 'Theo James', 'Zoë Kravitz']",2.81,776987,https://letterboxd.com/film/divergent/
50 First Dates,Peter Segal,"['Adam Sandler', 'Drew Barrymore', 'Rob Schneider']",3.23,774938,https://letterboxd.com/film/50-first-dates/
Snow White and the Seven Dwarfs,David Hand,"['Adriana Caselotti', 'Lucille La Verne', 'Harry Stockwell']",3.43,772449,https://letterboxd.com/film/snow-white-and-the-seven-dwarfs/
The Simpsons Movie,David Silverman,"['Dan Castellaneta', 'Julie Kavner', 'Nancy Cartwright']",3.44,771363,https://letterboxd.com/film/the-simpsons-movie/
Willy Wonka & the Chocolate Factory,Mel Stuart,"['Peter Ostrum', 'Gene Wilder', 'Jack Albertson']",3.81,767913,https://letterboxd.com/film/willy-wonka-the-chocolate-factory/
"tick, tick...BOOM!",Lin-Manuel Miranda,"['Andrew Garfield', 'Alexandra Shipp', 'Robin de Jesús']",3.82,767623,https://letterboxd.com/film/tick-tick-boom-2021/
Zoolander,Ben Stiller,"['Ben Stiller', 'Owen Wilson', 'Christine Taylor']",3.32,765629,https://letterboxd.com/film/zoolander/
Rise of the Planet of the Apes,Rupert Wyatt,"['Andy Serkis', 'James Franco', 'Freida Pinto']",3.62,765466,https://letterboxd.com/film/rise-of-the-planet-of-the-apes/
It Follows,David Robert Mitchell,"['Maika Monroe', 'Keir Gilchrist', 'Daniel Zovatto']",3.49,762247,https://letterboxd.com/film/it-follows/
Bolt,"Chris Williams, Byron Howard","['John Travolta', 'Susie Essman', 'Mark Walton']",3.05,762880,https://letterboxd.com/film/bolt/
Monty Python and the Holy Grail,"Terry Gilliam, Terry Jones","['Graham Chapman', 'John Cleese', 'Eric Idle']",4.13,760467,https://letterboxd.com/film/monty-python-and-the-holy-grail/
X-Men: Apocalypse,Bryan Singer,"['James McAvoy', 'Michael Fassbender', 'Oscar Isaac']",2.57,757882,https://letterboxd.com/film/x-men-apocalypse/
The Florida Project,Sean Baker,"['Brooklynn Prince', 'Bria Vinaite', 'Willem Dafoe']",4.11,757760,https://letterboxd.com/film/the-florida-project/
No Time to Die,Cary Joji Fukunaga,"['Daniel Craig', 'Léa Seydoux', 'Rami Malek']",3.49,756739,https://letterboxd.com/film/no-time-to-die-2021/
We're the Millers,Rawson Marshall Thurber,"['Jason Sudeikis', 'Jennifer Aniston', 'Emma Roberts']",3.23,755731,https://letterboxd.com/film/were-the-millers/
Promising Young Woman,Emerald Fennell,"['Carey Mulligan', 'Bo Burnham', 'Alison Brie']",3.67,754849,https://letterboxd.com/film/promising-young-woman/
The Black Phone,Scott Derrickson,"['Mason Thames', 'Ethan Hawke', 'Madeleine McGraw']",3.26,752703,https://letterboxd.com/film/the-black-phone/
Justice League,Zack Snyder,"['Ben Affleck', 'Henry Cavill', 'Amy Adams']",1.93,749298,https://letterboxd.com/film/justice-league/
Society of the Snow,J. A. Bayona,"['Enzo Vogrincic', 'Agustín Pardella', 'Matías Recalt']",4.13,750197,https://letterboxd.com/film/society-of-the-snow/
Sicario,Denis Villeneuve,"['Emily Blunt', 'Benicio del Toro', 'Josh Brolin']",3.97,747806,https://letterboxd.com/film/sicario-2015/
Ford v Ferrari,James Mangold,"['Christian Bale', 'Matt Damon', 'Jon Bernthal']",3.95,746633,https://letterboxd.com/film/ford-v-ferrari/
Jurassic World: Fallen Kingdom,J. A. Bayona,"['Chris Pratt', 'Bryce Dallas Howard', 'Rafe Spall']",2.57,745459,https://letterboxd.com/film/jurassic-world-fallen-kingdom/
The 40 Year Old Virgin,Judd Apatow,"['Steve Carell', 'Catherine Keener', 'Paul Rudd']",3.31,744980,https://letterboxd.com/film/the-40-year-old-virgin/
Romeo + Juliet,Baz Luhrmann,"['Leonardo DiCaprio', 'Claire Danes', 'Jesse Bradford']",3.39,744601,https://letterboxd.com/film/romeo-juliet-1996/
Kingsman: The Golden Circle,Matthew Vaughn,"['Colin Firth', 'Julianne Moore', 'Taron Egerton']",3.11,741613,https://letterboxd.com/film/kingsman-the-golden-circle/
Carrie,Brian De Palma,"['Sissy Spacek', 'Piper Laurie', 'Amy Irving']",3.85,739130,https://letterboxd.com/film/carrie-1976/
Hacksaw Ridge,Mel Gibson,"['Andrew Garfield', 'Sam Worthington', 'Vince Vaughn']",3.89,737924,https://letterboxd.com/film/hacksaw-ridge/
Paddington,Paul King,"['Ben Whishaw', 'Hugh Bonneville', 'Sally Hawkins']",3.8,737232,https://letterboxd.com/film/paddington/
City of God,Fernando Meirelles,"['Alexandre Rodrigues', 'Leandro Firmino', 'Phellipe Haagensen']",4.52,732109,https://letterboxd.com/film/city-of-god/
The Virgin Suicides,Sofia Coppola,"['James Woods', 'Kathleen Turner', 'Kirsten Dunst']",3.82,732784,https://letterboxd.com/film/the-virgin-suicides/
Shark Tale,"Vicky Jenson, Bibo Bergeron","['Will Smith', 'Robert De Niro', 'Renée Zellweger']",2.83,731223,https://letterboxd.com/film/shark-tale/
The Twilight Saga: Breaking Dawn – Part 2,Bill Condon,"['Robert Pattinson', 'Kristen Stewart', 'Taylor Lautner']",2.75,730332,https://letterboxd.com/film/the-twilight-saga-breaking-dawn-part-2/
Indiana Jones and the Kingdom of the Crystal Skull,Steven Spielberg,"['Harrison Ford', 'Cate Blanchett', 'Karen Allen']",2.68,729500,https://letterboxd.com/film/indiana-jones-and-the-kingdom-of-the-crystal-skull/
Enchanted,Kevin Lima,"['Amy Adams', 'Patrick Dempsey', 'James Marsden']",3.5,729606,https://letterboxd.com/film/enchanted/
Five Nights at Freddy's,Emma Tammi,"['Josh Hutcherson', 'Piper Rubio', 'Elizabeth Lail']",2.57,730346,https://letterboxd.com/film/five-nights-at-freddys/
The Lion King,Jon Favreau,"['Chiwetel Ejiofor', 'John Oliver', 'James Earl Jones']",2.76,727499,https://letterboxd.com/film/the-lion-king-2019/
Heat,Michael Mann,"['Robert De Niro', 'Al Pacino', 'Val Kilmer']",4.27,725809,https://letterboxd.com/film/heat-1995/
The Usual Suspects,Bryan Singer,"['Kevin Spacey', 'Gabriel Byrne', 'Stephen Baldwin']",4.06,725223,https://letterboxd.com/film/the-usual-suspects/
Aliens,James Cameron,"['Sigourney Weaver', 'Michael Biehn', 'Lance Henriksen']",4.15,725310,https://letterboxd.com/film/aliens/
John Wick: Chapter 4,Chad Stahelski,"['Keanu Reeves', 'Donnie Yen', 'Bill Skarsgård']",3.93,725490,https://letterboxd.com/film/john-wick-chapter-4/
The Twilight Saga: Breaking Dawn – Part 1,Bill Condon,"['Kristen Stewart', 'Robert Pattinson', 'Taylor Lautner']",2.53,724017,https://letterboxd.com/film/the-twilight-saga-breaking-dawn-part-1/
Bodies Bodies Bodies,Halina Reijn,"['Amandla Stenberg', 'Maria Bakalova', 'Myha’la Herrold']",3.34,730125,https://letterboxd.com/film/bodies-bodies-bodies/
Rear Window,Alfred Hitchcock,"['James Stewart', 'Grace Kelly', 'Wendell Corey']",4.38,722901,https://letterboxd.com/film/rear-window/
Pocahontas,"Mike Gabriel, Eric Goldberg","['Irene Bedard', 'Mel Gibson', 'David Ogden Stiers']",3.21,722277,https://letterboxd.com/film/pocahontas/
Beautiful Boy,Felix van Groeningen,"['Steve Carell', 'Timothée Chalamet', 'Maura Tierney']",3.88,723558,https://letterboxd.com/film/beautiful-boy-2018/
Enola Holmes,Harry Bradbeer,"['Millie Bobby Brown', 'Henry Cavill', 'Sam Claflin']",3.05,722602,https://letterboxd.com/film/enola-holmes/
The Babadook,Jennifer Kent,"['Essie Davis', 'Noah Wiseman', 'Hayley McElhinney']",3.4,720372,https://letterboxd.com/film/the-babadook/
The Northman,Robert Eggers,"['Alexander Skarsgård', 'Nicole Kidman', 'Claes Bang']",3.8,719270,https://letterboxd.com/film/the-northman/
Click,Frank Coraci,"['Adam Sandler', 'Kate Beckinsale', 'Christopher Walken']",2.81,718430,https://letterboxd.com/film/click/
Vertigo,Alfred Hitchcock,"['James Stewart', 'Kim Novak', 'Barbara Bel Geddes']",4.24,718199,https://letterboxd.com/film/vertigo/
The Iron Giant,Brad Bird,"['Vin Diesel', 'Eli Marienthal', 'Jennifer Aniston']",4.24,718039,https://letterboxd.com/film/the-iron-giant/
