Film_title,Director,Average_rating,Watches,Film_URL,Actor1,Actor2,Actor3
The Lord of the Rings: The Return of the King,Peter Jackson,4.5,1887299,https://a.ltrbxd.com/resized/sm/upload/zs/nt/u4/uz/xieWkPAgQrrk5wOyncayPd65hrp-0-1000-0-1500-crop.jpg?v=4c89d05285,Elijah Wood,Sean Astin,Viggo Mortensen
Shrek 2,"Andrew Adamson, Kelly Asbury",4.02,1878346,https://a.ltrbxd.com/resized/sm/upload/g4/4m/0c/6s/rD8SvOTCCJ2VIpIV7GUwUKD1Kzc-0-1000-0-1500-crop.jpg?v=e780d1b7d3,Mike Myers,Eddie Murphy,Cameron Diaz
Mad Max: Fury Road,George Miller,4.17,1873620,https://a.ltrbxd.com/resized/film-poster/6/2/7/8/0/62780-mad-max-fury-road-0-1000-0-1500-crop.jpg?v=37c5424b1f,Tom Hardy,Charlize Theron,Nicholas Hoult
A Quiet Place,John Krasinski,3.65,1856786,https://a.ltrbxd.com/resized/film-poster/3/7/9/6/8/7/379687-a-quiet-place-0-1000-0-1500-crop.jpg?v=895e756ae7,John Krasinski,Emily Blunt,Millicent Simmonds
The Hunger Games: Catching Fire,Francis Lawrence,3.79,1858643,https://a.ltrbxd.com/resized/sm/upload/0a/6m/bl/rt/esWEsDI83IYqUBGSN69hb4A1Vfu-0-1000-0-1500-crop.jpg?v=a9ecd05d8f,Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth
Tangled,"Byron Howard, Nathan Greno",3.92,1861779,https://a.ltrbxd.com/resized/sm/upload/0w/h1/le/1p/632CtNOARAuWYfdjoYn6ooP3BHQ-0-1000-0-1500-crop.jpg?v=845e60968f,Mandy Moore,Zachary Levi,Donna Murphy
Us,Jordan Peele,3.65,1847256,https://a.ltrbxd.com/resized/film-poster/3/9/0/5/2/0/390520-us-0-1000-0-1500-crop.jpg?v=968884c876,Lupita Nyongo,Winston Duke,Shahadi Wright Joseph
Fantastic Mr. Fox,Wes Anderson,4.27,1848754,https://a.ltrbxd.com/resized/film-poster/4/6/3/4/4/46344-fantastic-mr-fox-0-1000-0-1500-crop.jpg?v=3a2a858065,George Clooney,Meryl Streep,Jason Schwartzman
Toy Story 2,John Lasseter,3.93,1838721,https://a.ltrbxd.com/resized/film-poster/5/1/2/8/9/51289-toy-story-2-0-1000-0-1500-crop.jpg?v=96fd9a530b,Tom Hanks,Tim Allen,Joan Cusack
Batman Begins,Christopher Nolan,3.79,1841636,https://a.ltrbxd.com/resized/film-poster/5/1/7/8/4/51784-batman-begins-0-1000-0-1500-crop.jpg?v=f090edc352,Christian Bale,Michael Caine,Liam Neeson
The Lord of the Rings: The Two Towers,Peter Jackson,4.39,1841607,https://a.ltrbxd.com/resized/film-poster/5/1/9/2/9/51929-the-lord-of-the-rings-the-two-towers-0-1000-0-1500-crop.jpg?v=9ef6c09783,Elijah Wood,Sean Astin,Andy Serkis
Charlie and the Chocolate Factory,Tim Burton,3.2,1833438,https://a.ltrbxd.com/resized/film-poster/5/1/9/3/2/51932-charlie-and-the-chocolate-factory-0-1000-0-1500-crop.jpg?v=cf68e10228,Johnny Depp,Freddie Highmore,David Kelly
Captain America: The First Avenger,Joe Johnston,3.26,1808471,https://a.ltrbxd.com/resized/film-poster/5/0/8/0/9/50809-captain-america-the-first-avenger-0-1000-0-1500-crop.jpg?v=5a0d520040,Chris Evans,Tommy Lee Jones,Hugo Weaving
Dunkirk,Christopher Nolan,3.77,1807730,https://a.ltrbxd.com/resized/sm/upload/md/nb/pu/3i/bOXBV303Fgkzn2K4FeKDc0O31q4-0-1000-0-1500-crop.jpg?v=7307b1ff5b,Fionn Whitehead,Tom Hardy,Mark Rylance
Taxi Driver,Martin Scorsese,4.17,1807641,https://a.ltrbxd.com/resized/film-poster/5/1/9/4/7/51947-taxi-driver-0-1000-0-1500-crop.jpg?v=3ae07cca2d,Robert De Niro,Jodie Foster,Cybill Shepherd
Catch Me If You Can,Steven Spielberg,4.03,1815270,https://a.ltrbxd.com/resized/film-poster/5/1/4/8/4/51484-catch-me-if-you-can-0-1000-0-1500-crop.jpg?v=942d676423,Leonardo DiCaprio,Tom Hanks,Christopher Walken
Ant-Man,Peyton Reed,3.23,1803173,https://a.ltrbxd.com/resized/film-poster/8/3/5/5/7/83557-ant-man-0-1000-0-1500-crop.jpg?v=17265166a5,Paul Rudd,Michael Douglas,Evangeline Lilly
Frozen,"Chris Buck, Jennifer Lee",3.38,1804013,https://a.ltrbxd.com/resized/sm/upload/6w/m8/pw/94/eFnGmj63QPUpK7QUWSOUhypIQOT-0-1000-0-1500-crop.jpg?v=aae3ef24d7,Kristen Bell,Idina Menzel,Jonathan Groff
Good Will Hunting,Gus Van Sant,4.3,1801033,https://a.ltrbxd.com/resized/film-poster/5/1/6/2/1/51621-good-will-hunting-0-1000-0-1500-crop.jpg?v=acb4766abd,Matt Damon,Robin Williams,Ben Affleck
Pirates of the Caribbean: The Curse of the Black Pearl,Gore Verbinski,3.91,1791399,https://a.ltrbxd.com/resized/film-poster/2/6/9/5/2695-pirates-of-the-caribbean-the-curse-of-the-black-pearl-0-1000-0-1500-crop.jpg?v=272b36c0d8,Johnny Depp,Orlando Bloom,Keira Knightley
Coraline,Henry Selick,4.14,1774291,https://a.ltrbxd.com/resized/film-poster/4/2/7/7/9/42779-coraline-0-1000-0-1500-crop.jpg?v=b792483e2a,Dakota Fanning,Teri Hatcher,Jennifer Saunders
Return of the Jedi,Richard Marquand,4.04,1761062,https://a.ltrbxd.com/resized/sm/upload/88/lu/ak/8v/5wDrNqePjb5SOucrWQwiFu340vv-0-1000-0-1500-crop.jpg?v=acc9d9c27b,Mark Hamill,Harrison Ford,Carrie Fisher
Dead Poets Society,Peter Weir,4.25,1756609,https://a.ltrbxd.com/resized/film-poster/5/1/8/4/6/51846-dead-poets-society-0-1000-0-1500-crop.jpg?v=9273e8acf7,Robin Williams,Ethan Hawke,Robert Sean Leonard
Bohemian Rhapsody,Bryan Singer,3.41,1740154,https://a.ltrbxd.com/resized/film-poster/3/5/8/2/2/2/358222-bohemian-rhapsody-0-1000-0-1500-crop.jpg?v=e24822a0b4,Rami Malek,Gwilym Lee,Ben Hardy
Zootopia,"Byron Howard, Rich Moore",3.69,1727517,https://a.ltrbxd.com/resized/film-poster/1/9/2/4/1/0/192410-zootopia-0-1000-0-1500-crop.jpg?v=e22eae9a2a,Jason Bateman,Ginnifer Goodwin,Idris Elba
Blade Runner 2049,Denis Villeneuve,4.12,1727253,https://a.ltrbxd.com/resized/film-poster/2/6/5/4/3/9/265439-blade-runner-2049-0-1000-0-1500-crop.jpg?v=86735e0bb8,Ryan Gosling,Harrison Ford,Sylvia Hoeks
Star Wars: The Last Jedi,Rian Johnson,2.98,1716158,https://a.ltrbxd.com/resized/sm/upload/21/h4/fo/18/47zTsc9gkruDmDssiCqyZTxdOla-0-1000-0-1500-crop.jpg?v=2a45b40d17,Mark Hamill,Carrie Fisher,Adam Driver
(500) Days of Summer,Marc Webb,3.66,1726904,https://a.ltrbxd.com/resized/film-poster/3/9/3/5/0/39350--500-days-of-summer-0-1000-0-1500-crop.jpg?v=05995ae0b3,Joseph Gordon-Levitt,Zooey Deschanel,Geoffrey Arend
The Devil Wears Prada,David Frankel,3.77,1730812,https://a.ltrbxd.com/resized/film-poster/5/1/7/1/2/51712-the-devil-wears-prada-0-1000-0-1500-crop.jpg?v=4a10e2c93f,Anne Hathaway,Meryl Streep,Emily Blunt
Thor,Kenneth Branagh,2.78,1704048,https://a.ltrbxd.com/resized/film-poster/4/6/4/5/6/46456-thor-0-1000-0-1500-crop.jpg?v=36c210ad0d,Chris Hemsworth,Natalie Portman,Tom Hiddleston
Iron Man 2,Jon Favreau,2.86,1707253,https://a.ltrbxd.com/resized/film-poster/4/6/5/1/1/46511-iron-man-2-0-1000-0-1500-crop.jpg?v=67e856ad63,Robert Downey Jr.,Mickey Rourke,Don Cheadle
Doctor Strange in the Multiverse of Madness,Sam Raimi,2.96,1707006,https://a.ltrbxd.com/resized/film-poster/3/8/5/5/1/1/385511-doctor-strange-in-the-multiverse-of-madness-0-1000-0-1500-crop.jpg?v=009a8981af,Benedict Cumberbatch,Elizabeth Olsen,Chiwetel Ejiofor
Iron Man 3,Shane Black,3.0,1690344,https://a.ltrbxd.com/resized/sm/upload/5r/0i/96/db/7XiGqZE8meUv7L4720L0tIDd7gO-0-1000-0-1500-crop.jpg?v=25f900a8ee,Robert Downey Jr.,Gwyneth Paltrow,Don Cheadle
Suicide Squad,David Ayer,2.04,1688374,https://a.ltrbxd.com/resized/sm/upload/t0/3y/yr/rs/n3rm3gxguxzFDlygpROV7RHbELe-0-1000-0-1500-crop.jpg?v=67909d635e,Will Smith,Jared Leto,Margot Robbie
Star Wars: Episode III – Revenge of the Sith,George Lucas,3.79,1688090,https://a.ltrbxd.com/resized/film-poster/5/0/7/0/9/50709-star-wars-episode-iii-revenge-of-the-sith-0-1000-0-1500-crop.jpg?v=cdb8caab10,Hayden Christensen,Ewan McGregor,Natalie Portman
The Martian,Ridley Scott,3.74,1683412,https://a.ltrbxd.com/resized/film-poster/2/1/1/5/1/1/211511-the-martian-0-1000-0-1500-crop.jpg?v=71ca0c832e,Matt Damon,Jessica Chastain,Kristen Wiig
The Amazing Spider-Man,Marc Webb,3.28,1679531,https://a.ltrbxd.com/resized/film-poster/5/0/6/7/7/50677-the-amazing-spider-man-0-1000-0-1500-crop.jpg?v=2e109aabed,Andrew Garfield,Emma Stone,Rhys Ifans
Captain Marvel,"Ryan Fleck, Anna Boden",2.71,1672643,https://a.ltrbxd.com/resized/film-poster/2/2/6/7/5/0/226750-captain-marvel-0-1000-0-1500-crop.jpg?v=4be3c0c011,Brie Larson,Samuel L. Jackson,Ben Mendelsohn
Superbad,Greg Mottola,3.88,1670518,https://a.ltrbxd.com/resized/film-poster/4/7/7/7/6/47776-superbad-0-1000-0-1500-crop.jpg?v=b43686efcb,Jonah Hill,Michael Cera,Christopher Mintz-Plasse
Drive,Nicolas Winding Refn,3.94,1651498,https://a.ltrbxd.com/resized/sm/upload/6d/6l/r3/e9/nu7XIa67cXc2t7frXCE5voXUJcN.jpg-0-1000-0-1500-crop.jpg?v=58a476ae28,Ryan Gosling,Carey Mulligan,Bryan Cranston
Donnie Darko,Richard Kelly,3.97,1654152,https://a.ltrbxd.com/resized/sm/upload/ye/jq/f3/22/nmb4QhCRmdfNP6rgb81yUFgI83l-0-1000-0-1500-crop.jpg?v=caa3999c6f,Jake Gyllenhaal,Jena Malone,James Duval
Howl's Moving Castle,Hayao Miyazaki,4.32,1657250,https://a.ltrbxd.com/resized/film-poster/4/9/0/6/2/49062-howl-s-moving-castle-0-1000-0-1500-crop.jpg?v=fde81bda52,Chieko Baisho,Takuya Kimura,Akihiro Miwa
The Nightmare Before Christmas,Henry Selick,3.95,1646188,https://a.ltrbxd.com/resized/film-poster/4/7/1/1/9/47119-the-nightmare-before-christmas-0-1000-0-1500-crop.jpg?v=cc72c8b470,Danny Elfman,Chris Sarandon,Catherine OHara
Incredibles 2,Brad Bird,3.44,1642449,https://a.ltrbxd.com/resized/film-poster/1/8/4/0/6/1/184061-incredibles-2-0-1000-0-1500-crop.jpg?v=ba643664bd,Craig T. Nelson,Holly Hunter,Sarah Vowell
Star Wars: Episode I – The Phantom Menace,George Lucas,2.87,1628767,https://a.ltrbxd.com/resized/film-poster/5/0/7/1/1/50711-star-wars-episode-i-the-phantom-menace-0-1000-0-1500-crop.jpg?v=cdb8caab10,Liam Neeson,Ewan McGregor,Natalie Portman
1917,Sam Mendes,4.1,1616042,https://a.ltrbxd.com/resized/film-poster/4/6/0/1/5/5/460155-1917-0-1000-0-1500-crop.jpg?v=9eb1d95df5,George MacKay,Dean-Charles Chapman,Mark Strong
Nope,Jordan Peele,3.73,1619789,https://a.ltrbxd.com/resized/film-poster/6/8/2/5/4/7/682547-nope-0-1000-0-1500-crop.jpg?v=d6a6158cc3,Daniel Kaluuya,Keke Palmer,Brandon Perea
John Wick,Chad Stahelski,3.8,1597588,https://a.ltrbxd.com/resized/film-poster/1/7/2/0/7/6/172076-john-wick-0-1000-0-1500-crop.jpg?v=e3c8c69b11,Keanu Reeves,Michael Nyqvist,Ian McShane
Moana,"Ron Clements, John Musker",3.71,1601561,https://a.ltrbxd.com/resized/film-poster/2/0/1/9/0/9/201909-moana-0-1000-0-1500-crop.jpg?v=cfeffc2eaa,Aulii Cravalho,Dwayne Johnson,Rachel House
Twilight,Catherine Hardwicke,2.9,1603085,https://a.ltrbxd.com/resized/film-poster/4/7/4/6/9/47469-twilight-0-1000-0-1500-crop.jpg?v=f347bd6a28,Kristen Stewart,Robert Pattinson,Billy Burke
Big Hero 6,"Chris Williams, Don Hall",3.77,1590642,https://a.ltrbxd.com/resized/sm/upload/hu/db/3b/mm/q6WZxPlic8hpKzCxnzWOFCCLQfo-0-1000-0-1500-crop.jpg?v=d5c2ad9fb4,Scott Adsit,Ryan Potter,Daniel Henney
Cars,John Lasseter,3.67,1593761,https://a.ltrbxd.com/resized/sm/upload/de/kp/63/hd/dWg33ektXuHmxjSjEulwDPTWbC2-0-1000-0-1500-crop.jpg?v=df40f228cb,Owen Wilson,Larry the Cable Guy,Bonnie Hunt
Avatar: The Way of Water,James Cameron,3.61,1586537,https://a.ltrbxd.com/resized/film-poster/6/3/0/5/8/63058-avatar-the-way-of-water-0-1000-0-1500-crop.jpg?v=cc3269e69d,Sam Worthington,Zoe Saldaña,Sigourney Weaver
Split,M. Night Shyamalan,3.46,1565838,https://a.ltrbxd.com/resized/sm/upload/5e/pw/vs/km/8CHJcVc5IGXS1sC5DyjeMwTDEQH-0-1000-0-1500-crop.jpg?v=ab64d75800,James McAvoy,Anya Taylor-Joy,Betty Buckley
Little Miss Sunshine,"Jonathan Dayton, Valerie Faris",4.17,1558430,https://a.ltrbxd.com/resized/sm/upload/h6/xm/om/q7/dOeM4R55TsAFBXCPNIDDMiJkePr-0-1000-0-1500-crop.jpg?v=09383296c6,Greg Kinnear,Toni Collette,Steve Carell
Rogue One: A Star Wars Story,Gareth Edwards,3.71,1549489,https://a.ltrbxd.com/resized/film-poster/2/5/8/1/2/8/258128-rogue-one-a-star-wars-story-0-1000-0-1500-crop.jpg?v=eff30d0282,Felicity Jones,Diego Luna,Alan Tudyk
GoodFellas,Martin Scorsese,4.48,1551866,https://a.ltrbxd.com/resized/film-poster/5/1/3/8/3/51383-goodfellas-0-1000-0-1500-crop.jpg?v=c6c265f228,Ray Liotta,Robert De Niro,Joe Pesci
No Country for Old Men,"Joel Coen, Ethan Coen",4.33,1551661,https://a.ltrbxd.com/resized/sm/upload/dr/hr/pz/ez/ehLb2SQ3djlA1FrQKbP2WO3VH09-0-1000-0-1500-crop.jpg?v=6489920a92,Josh Brolin,Javier Bardem,Tommy Lee Jones
Spider-Man 3,Sam Raimi,3.01,1545164,https://a.ltrbxd.com/resized/sm/upload/gi/zi/fp/69/uC2pAMjb32NIgQ1GdC1Bl6LZJc2-0-1000-0-1500-crop.jpg?v=71a23d5211,Tobey Maguire,Kirsten Dunst,James Franco
Deadpool 2,David Leitch,3.48,1537597,https://a.ltrbxd.com/resized/film-poster/3/1/8/1/9/5/318195-deadpool-2-0-1000-0-1500-crop.jpg?v=b43b5ab190,Ryan Reynolds,Josh Brolin,Morena Baccarin
Zodiac,David Fincher,4.02,1514585,https://a.ltrbxd.com/resized/sm/upload/58/tf/z6/gw/qKQIjErYaN149hZRP5Vgf8RoC7S-0-1000-0-1500-crop.jpg?v=72ee5db942,Jake Gyllenhaal,Mark Ruffalo,Anthony Edwards
My Neighbor Totoro,Hayao Miyazaki,4.19,1521751,https://a.ltrbxd.com/resized/film-poster/4/7/7/5/6/47756-my-neighbor-totoro-0-1000-0-1500-crop.jpg?v=749abe71ad,Noriko Hidaka,Chika Sakamoto,Hitoshi Takagi
Kung Fu Panda,"Mark Osborne, John Stevenson",3.84,1519214,https://a.ltrbxd.com/resized/sm/upload/wn/0t/9w/2v/mk3UyyaLyXhgIhmLji25OUPXvGR-0-1000-0-1500-crop.jpg?v=ad94029f2c,Jack Black,Angelina Jolie,Dustin Hoffman
Jaws,Steven Spielberg,3.97,1512407,https://a.ltrbxd.com/resized/film-poster/5/1/5/4/2/51542-jaws-0-1000-0-1500-crop.jpg?v=03299455f6,Roy Scheider,Robert Shaw,Richard Dreyfuss
Star Wars: Episode II – Attack of the Clones,George Lucas,2.8,1509500,https://a.ltrbxd.com/resized/film-poster/5/0/7/1/0/50710-star-wars-episode-ii-attack-of-the-clones-0-1000-0-1500-crop.jpg?v=cdb8caab10,Hayden Christensen,Ewan McGregor,Natalie Portman
Top Gun: Maverick,Joseph Kosinski,3.99,1511043,https://a.ltrbxd.com/resized/film-poster/2/9/3/4/6/5/293465-top-gun-maverick-0-1000-0-1500-crop.jpg?v=9f8af0f61b,Tom Cruise,Miles Teller,Jon Hamm
Poor Things,Yorgos Lanthimos,4.08,1526606,https://a.ltrbxd.com/resized/film-poster/7/1/0/3/5/2/710352-poor-things-0-1000-0-1500-crop.jpg?v=a0f2ee9a0e,Emma Stone,Mark Ruffalo,Willem Dafoe
E.T. the Extra-Terrestrial,Steven Spielberg,3.85,1499279,https://a.ltrbxd.com/resized/film-poster/5/1/5/2/0/51520-e-t-the-extra-terrestrial-0-1000-0-1500-crop.jpg?v=abed7069ac,Henry Thomas,Drew Barrymore,Robert MacNaughton
Nightcrawler,Dan Gilroy,4.04,1493855,https://a.ltrbxd.com/resized/sm/upload/g7/2e/vi/vy/A9ANrAWlmIovxzjAIiOgseSLNc9-0-1000-0-1500-crop.jpg?v=6bcb14c88c,Jake Gyllenhaal,Riz Ahmed,Rene Russo
How to Train Your Dragon,"Chris Sanders, Dean DeBlois",4.01,1494764,https://a.ltrbxd.com/resized/sm/upload/0r/r7/c6/7e/hIXX3IRFy0InUOmYeWjvhCAgQNj-0-1000-0-1500-crop.jpg?v=d158027eb4,Jay Baruchel,Gerard Butler,Craig Ferguson
Clueless,Amy Heckerling,3.72,1491405,https://a.ltrbxd.com/resized/sm/upload/fn/rr/3z/h7/i8gEHh2sszB6YWLC0jl559sxAeN-0-1000-0-1500-crop.jpg?v=593192fedf,Alicia Silverstone,Stacey Dash,Brittany Murphy
Memento,Christopher Nolan,4.17,1489489,https://a.ltrbxd.com/resized/sm/upload/v1/3q/s4/aa/memento-0-1000-0-1500-crop.jpg?v=80f0732247,Guy Pearce,Carrie-Anne Moss,Joe Pantoliano
Edward Scissorhands,Tim Burton,3.86,1484990,https://a.ltrbxd.com/resized/film-poster/5/1/8/8/9/51889-edward-scissorhands-0-1000-0-1500-crop.jpg?v=38f2599419,Johnny Depp,Winona Ryder,Dianne Wiest
Scream,Wes Craven,4.02,1480559,https://a.ltrbxd.com/resized/film-poster/4/9/4/5/5/49455-scream-0-1000-0-1500-crop.jpg?v=8bb3c66a30,David Arquette,Neve Campbell,Courteney Cox
The Hangover,Todd Phillips,3.59,1477405,https://a.ltrbxd.com/resized/film-poster/4/0/1/0/0/40100-the-hangover-0-1000-0-1500-crop.jpg?v=6464871bf5,Bradley Cooper,Ed Helms,Zach Galifianakis
Wonder Woman,Patty Jenkins,3.28,1450689,https://a.ltrbxd.com/resized/film-poster/2/2/5/0/2/7/225027-wonder-woman-0-1000-0-1500-crop.jpg?v=4d37bba9b1,Gal Gadot,Chris Pine,Connie Nielsen
The Hunger Games: Mockingjay – Part 1,Francis Lawrence,3.19,1455874,https://a.ltrbxd.com/resized/film-poster/1/0/1/9/9/1/101991-the-hunger-games-mockingjay-part-1-0-1000-0-1500-crop.jpg?v=2909b52c8c,Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth
Reservoir Dogs,Quentin Tarantino,4.15,1435563,https://a.ltrbxd.com/resized/sm/upload/u0/4o/op/yx/g7spS2Y4SZoQoC6Hn7zoqEqdYqR-0-1000-0-1500-crop.jpg?v=6d1aaa720c,Harvey Keitel,Tim Roth,Michael Madsen
Alien,Ridley Scott,4.28,1433266,https://a.ltrbxd.com/resized/sm/upload/8v/f1/qw/aa/bg7K6VtUG7Ew70gQj6SSroD5d4R-0-1000-0-1500-crop.jpg?v=a932f9e98e,Sigourney Weaver,Tom Skerritt,Ian Holm
Uncut Gems,"Josh Safdie, Benny Safdie",3.95,1426713,https://a.ltrbxd.com/resized/film-poster/4/0/4/2/6/6/404266-uncut-gems-0-1000-0-1500-crop.jpg?v=670cb7034d,Adam Sandler,LaKeith Stanfield,Julia Fox
Ferris Bueller's Day Off,John Hughes,3.93,1426451,https://a.ltrbxd.com/resized/film-poster/4/7/2/1/9/47219-ferris-bueller-s-day-off-0-1000-0-1500-crop.jpg?v=5c27745153,Matthew Broderick,Alan Ruck,Mia Sara
Guardians of the Galaxy Vol. 3,James Gunn,3.97,1428856,https://a.ltrbxd.com/resized/film-poster/3/7/9/7/1/1/379711-guardians-of-the-galaxy-volume-3-0-1000-0-1500-crop.jpg?v=bd023e472c,Chris Pratt,Zoe Saldaña,Dave Bautista
The Great Gatsby,Baz Luhrmann,3.38,1418400,https://a.ltrbxd.com/resized/film-poster/2/8/5/285-the-great-gatsby-0-1000-0-1500-crop.jpg?v=83157e478f,Leonardo DiCaprio,Tobey Maguire,Carey Mulligan
Prisoners,Denis Villeneuve,4.29,1419357,https://a.ltrbxd.com/resized/sm/upload/iw/eg/4g/nm/3w79tTsv6tmlT8Jww6snyPrgVok-0-1000-0-1500-crop.jpg?v=778c7ae8b8,Hugh Jackman,Jake Gyllenhaal,Terrence Howard
Marriage Story,Noah Baumbach,4.0,1404249,https://a.ltrbxd.com/resized/film-poster/4/2/2/6/8/2/422682-marriage-story-0-1000-0-1500-crop.jpg?v=a312d638d9,Adam Driver,Scarlett Johansson,Laura Dern
Tenet,Christopher Nolan,3.4,1407042,https://a.ltrbxd.com/resized/sm/upload/pq/9f/sr/vt/aCIFMriQh8rvhxpN1IWGgvH0Tlg-0-1000-0-1500-crop.jpg?v=f3165fe17f,John David Washington,Robert Pattinson,Elizabeth Debicki
Logan,James Mangold,4.1,1396705,https://a.ltrbxd.com/resized/sm/upload/f3/ub/fq/f5/gGBu0hKw9BGddG8RkRAMX7B6NDB-0-1000-0-1500-crop.jpg?v=523ca1f161,Hugh Jackman,Dafne Keen,Patrick Stewart
Thor: The Dark World,Alan Taylor,2.22,1394839,https://a.ltrbxd.com/resized/sm/upload/pc/xw/7h/17/bnX5PqAdQZRXSw3aX3DutDcdso5-0-1000-0-1500-crop.jpg?v=4c0f579fe5,Chris Hemsworth,Natalie Portman,Tom Hiddleston
Star Wars: The Rise of Skywalker,J.J. Abrams,2.36,1399754,https://a.ltrbxd.com/resized/film-poster/1/3/1/9/8/4/131984-star-wars-the-rise-of-skywalker-0-1000-0-1500-crop.jpg?v=23eb9b6d0e,Carrie Fisher,Mark Hamill,Daisy Ridley
Juno,Jason Reitman,3.73,1385024,https://a.ltrbxd.com/resized/film-poster/4/8/0/5/1/48051-juno-0-1000-0-1500-crop.jpg?v=19ad3fb7e5,Elliot Page,Michael Cera,Jennifer Garner
Kingsman: The Secret Service,Matthew Vaughn,3.72,1377306,https://a.ltrbxd.com/resized/film-poster/1/4/8/2/0/0/148200-kingsman-the-secret-service-0-1000-0-1500-crop.jpg?v=cd49b739cf,Colin Firth,Samuel L. Jackson,Mark Strong
Black Widow,Cate Shortland,2.93,1369991,https://a.ltrbxd.com/resized/film-poster/4/2/7/8/0/7/427807-black-widow-0-1000-0-1500-crop.jpg?v=691395e563,Scarlett Johansson,Florence Pugh,Rachel Weisz
Mamma Mia!,Phyllida Lloyd,3.74,1373896,https://a.ltrbxd.com/resized/sm/upload/10/5l/wu/jl/gOm2iMMbC6EonrFzmSQ8xvCa4Ei.jpg-0-1000-0-1500-crop.jpg?v=e49de6f770,Meryl Streep,Pierce Brosnan,Colin Firth
The Prestige,Christopher Nolan,4.23,1353144,https://a.ltrbxd.com/resized/film-poster/5/1/1/4/7/51147-the-prestige-0-1000-0-1500-crop.jpg?v=ad7e891177,Hugh Jackman,Christian Bale,Michael Caine
The Amazing Spider-Man 2,Marc Webb,2.89,1355462,https://a.ltrbxd.com/resized/sm/upload/fs/xh/ms/hx/9HFdUfEuvbsaBfroPZNeDiA9W9-0-1000-0-1500-crop.jpg?v=4bb266c754,Andrew Garfield,Emma Stone,Jamie Foxx
Blade Runner,Ridley Scott,4.1,1350152,https://a.ltrbxd.com/resized/sm/upload/85/io/38/dz/vfzE3pjE5G7G7kcZWrA3fnbZo7V-0-1000-0-1500-crop.jpg?v=0d5de70f0d,Harrison Ford,Rutger Hauer,Sean Young
Raiders of the Lost Ark,Steven Spielberg,4.16,1350790,https://a.ltrbxd.com/resized/film-poster/5/1/9/6/5/51965-raiders-of-the-lost-ark-0-1000-0-1500-crop.jpg?v=2b066bfd52,Harrison Ford,Karen Allen,Paul Freeman
Moonlight,Barry Jenkins,4.2,1345518,https://a.ltrbxd.com/resized/sm/upload/90/gn/c7/9k/qAwFbszz0kRyTuXmMeKQZCX3Q2O-0-1000-0-1500-crop.jpg?v=192bde15c6,Trevante Rhodes,André Holland,Janelle Monáe
The Revenant,Alejandro González Iñárritu,3.87,1341668,https://a.ltrbxd.com/resized/film-poster/2/0/7/2/2/4/207224-the-revenant-0-1000-0-1500-crop.jpg?v=f51b30a589,Leonardo DiCaprio,Tom Hardy,Domhnall Gleeson
A Clockwork Orange,Stanley Kubrick,4.13,1337822,https://a.ltrbxd.com/resized/film-poster/5/1/8/6/7/51867-a-clockwork-orange-0-1000-0-1500-crop.jpg?v=d6d5407b50,Malcolm McDowell,Patrick Magee,Michael Bates
Brave,"Brenda Chapman, Mark Andrews",3.33,1338350,https://a.ltrbxd.com/resized/sm/upload/ct/de/cg/m1/tZhun7eLdyGv9nMJS9YTyOXeOCb-0-1000-0-1500-crop.jpg?v=31b29a5693,Kelly Macdonald,Emma Thompson,Billy Connolly
Wreck-It Ralph,Rich Moore,3.57,1334341,https://a.ltrbxd.com/resized/film-poster/6/9/1/5/4/69154-wreck-it-ralph-0-1000-0-1500-crop.jpg?v=3c4fe486b3,John C. Reilly,Sarah Silverman,Jack McBrayer
Ice Age,Chris Wedge,3.51,1321654,https://a.ltrbxd.com/resized/film-poster/5/1/6/7/0/51670-ice-age-0-1000-0-1500-crop.jpg?v=e24a5fb66e,Ray Romano,John Leguizamo,Denis Leary
Encanto,"Byron Howard, Jared Bush",3.53,1318939,https://a.ltrbxd.com/resized/film-poster/4/9/6/5/9/2/496592-encanto-0-1000-0-1500-crop.jpg?v=3fbb07bf26,Stephanie Beatriz,María Cecilia Botero,John Leguizamo
The Conjuring,James Wan,3.56,1314325,https://a.ltrbxd.com/resized/film-poster/1/0/6/2/6/2/106262-the-conjuring-0-1000-0-1500-crop.jpg?v=8cbb976912,Patrick Wilson,Vera Farmiga,Lili Taylor
Bullet Train,David Leitch,3.53,1323581,https://a.ltrbxd.com/resized/film-poster/6/4/1/9/6/1/641961-bullet-train-0-1000-0-1500-crop.jpg?v=9245faa1ba,Brad Pitt,Joey King,Aaron Taylor-Johnson
Fantastic Beasts and Where to Find Them,David Yates,3.13,1309585,https://a.ltrbxd.com/resized/film-poster/1/8/2/9/1/0/182910-fantastic-beasts-and-where-to-find-them-0-1000-0-1500-crop.jpg?v=e777392de8,Eddie Redmayne,Katherine Waterston,Dan Fogler
Kill Bill: Vol. 2,Quentin Tarantino,4.05,1310831,https://a.ltrbxd.com/resized/sm/upload/ka/7q/dh/8m/bxbX4sHZHcy81dnNs4VAVs7HXDL-0-1000-0-1500-crop.jpg?v=52e9a07730,Uma Thurman,David Carradine,Daryl Hannah
