Film_title,Director,Average_rating,Watches,Film_URL,Actor1,Actor2,Actor3
The Lord of the Rings: The Return of the King,Peter Jackson,4.5,1887139,https://a.ltrbxd.com/resized/sm/upload/zs/nt/u4/uz/xieWkPAgQrrk5wOyncayPd65hrp-0-1000-0-1500-crop.jpg?v=4c89d05285,Elijah Wood,Sean Astin,Viggo Mortensen
Spider-Man: Across the Spider-Verse,"Joaquim Dos Santos, Justin K. Thompson",4.46,2072789,https://a.ltrbxd.com/resized/film-poster/4/9/7/6/3/1/497631-spider-man-across-the-spider-verse-0-1000-0-1500-crop.jpg?v=f2acbf1b8a,Shameik Moore,Hailee Steinfeld,Jason Schwartzman
Portrait of a Lady on Fire,Céline Sciamma,4.43,813902,https://a.ltrbxd.com/resized/film-poster/4/6/0/8/3/0/460830-portrait-of-a-lady-on-fire-0-1000-0-1500-crop.jpg?v=79b0f67aa9,Noémie Merlant,Adèle Haenel,Luàna Bajrami
Donnie Darko,Richard Kelly,3.97,1653988,https://a.ltrbxd.com/resized/sm/upload/ye/jq/f3/22/nmb4QhCRmdfNP6rgb81yUFgI83l-0-1000-0-1500-crop.jpg?v=caa3999c6f,Jake Gyllenhaal,Jena Malone,James Duval
The Empire Strikes Back,Irvin Kershner,4.41,2037063,https://a.ltrbxd.com/resized/sm/upload/mp/pz/lf/2i/7BuH8itoSrLExs2YZSsM01Qk2no-0-1000-0-1500-crop.jpg?v=27c6c6fba7,Mark Hamill,Harrison Ford,Carrie Fisher
The Truman Show,Peter Weir,4.21,3055175,https://a.ltrbxd.com/resized/sm/upload/xx/io/jp/45/the-truman-show-0-1000-0-1500-crop.jpg?v=704ba393f7,Jim Carrey,Laura Linney,Noah Emmerich
Little Miss Sunshine,"Jonathan Dayton, Valerie Faris",4.17,1558261,https://a.ltrbxd.com/resized/sm/upload/h6/xm/om/q7/dOeM4R55TsAFBXCPNIDDMiJkePr-0-1000-0-1500-crop.jpg?v=09383296c6,Greg Kinnear,Toni Collette,Steve Carell
The Shining,Stanley Kubrick,4.24,2552100,https://a.ltrbxd.com/resized/sm/upload/7s/m2/bw/d0/caoYMcjUamGoBVy65i1AHJBvdzw-0-1000-0-1500-crop.jpg?v=88d9d6cce4,Jack Nicholson,Shelley Duvall,Danny Lloyd
2001: A Space Odyssey,Stanley Kubrick,4.3,1274562,https://a.ltrbxd.com/resized/sm/upload/fe/jp/49/l9/eDiexVN4nO3ZdDZCDMiJOX5fQ5r-0-1000-0-1500-crop.jpg?v=ef7fa718a0,Keir Dullea,Gary Lockwood,William Sylvester
Blade Runner 2049,Denis Villeneuve,4.12,1727114,https://a.ltrbxd.com/resized/film-poster/2/6/5/4/3/9/265439-blade-runner-2049-0-1000-0-1500-crop.jpg?v=86735e0bb8,Ryan Gosling,Harrison Ford,Sylvia Hoeks
Taxi Driver,Martin Scorsese,4.17,1807514,https://a.ltrbxd.com/resized/film-poster/5/1/9/4/7/51947-taxi-driver-0-1000-0-1500-crop.jpg?v=3ae07cca2d,Robert De Niro,Jodie Foster,Cybill Shepherd
Se7en,David Fincher,4.32,2319086,https://a.ltrbxd.com/resized/film-poster/5/1/3/4/5/51345-se7en-0-1000-0-1500-crop.jpg?v=76a14ef6b4,Morgan Freeman,Brad Pitt,Gwyneth Paltrow
Amélie,Jean-Pierre Jeunet,4.16,1152386,https://a.ltrbxd.com/resized/sm/upload/ly/0v/ey/u7/pM20xF4WFyX7G3ie0YBXFp75aEC-0-1000-0-1500-crop.jpg?v=bc8a28c252,Audrey Tautou,Mathieu Kassovitz,Rufus
Forrest Gump,Robert Zemeckis,4.12,3049371,https://a.ltrbxd.com/resized/film-poster/2/7/0/4/2704-forrest-gump-0-1000-0-1500-crop.jpg?v=173bc04cf0,Tom Hanks,Robin Wright,Gary Sinise
